city,state,population,median_age,avg_income,population_density,lat,lng,median_household_income_2020,violent_crime_rate_2020,SafetyIndex,AffordabilityIndex,SafetyIndex_norm,median_household_income_2020_norm,AffordabilityIndex_norm,LivabilityScore
Los Angeles,CA,3898747,36.2,67803,8484,34.0522,-118.2437,68933,437,0.002288329519450801,1.0166659292361695,0.5278045038485542,0.35885237810192916,0.20047704377849584,0.37892062810354915
Chicago,IL,2746388,35.2,61214,11900,41.8781,-87.6298,65471,407,0.002457002457002457,1.06954291501944,0.5971772392226937,0.32249561555506545,0.36131357494353616,0.444013652838658
Houston,TX,2304580,33.4,56377,3750,29.7604,-95.3698,63797,446,0.002242152466367713,1.1316139560459053,0.5088125509580106,0.3049158291589217,0.5501157688775586,0.46003449979414834
Phoenix,AZ,1680992,34.0,56540,3120,33.4484,-112.074,72344,474,0.002109704641350211,1.2795189246551115,0.4543386795166858,0.39467355575858776,1.0,0.6001375385342507
Philadelphia,PA,1576251,34.3,52893,11680,39.9526,-75.1652,52171,390,0.002564102564102564,0.9863498005407143,0.6412259615384616,0.1828234775211871,0.10826412911435042,0.34381666660604593
San Antonio,TX,1547253,33.6,56320,3250,29.4241,-98.4936,56320,446,0.002242152466367713,1.0,0.5088125509580106,0.22639488358904886,0.14978409660533076,0.31637871444151816
San Diego,CA,1386932,36.5,79543,4330,32.7157,-117.1611,85305,437,0.002288329519450801,1.0724388066831776,0.5278045038485542,0.5307856295222793,0.37012204166919954,0.4813941028968653
Dallas,TX,1304379,32.7,58932,3860,32.7767,-96.797,63582,446,0.002242152466367713,1.0789045001018123,0.5088125509580106,0.30265797128844923,0.38978881513643543,0.4112590563106696
San Jose,CA,1013240,36.7,109593,5760,37.3382,-121.8863,129985,437,0.002288329519450801,1.1860702782111996,0.5278045038485542,1.0,0.7157561855414547,0.7258486572018581
Austin,TX,995484,33.9,78750,3100,30.2672,-97.7431,80251,446,0.002242152466367713,1.0190603174603174,0.5088125509580106,0.4777102170694055,0.2077600817680822,0.4091661100344506
Jacksonville,FL,954614,35.9,55631,1250,30.3322,-81.6557,55631,383,0.0026109660574412533,1.0,0.6605002373605507,0.21915923673902313,0.14978409660533076,0.3748830949475265
Fort Worth,TX,935508,32.2,62534,2600,32.7555,-97.3308,74167,446,0.002242152466367713,1.1860268014200275,0.5088125509580106,0.41381809016729154,0.7156239416895269,0.5423576299402497
Columbus,OH,905748,32.7,54144,3800,39.9612,-82.9988,65489,358,0.002793296089385475,1.2095338356973995,0.7354899377856781,0.3226846455163143,0.7871255561470287,0.6271390356132742
Charlotte,NC,897720,34.4,68367,2800,35.2271,-80.8431,74292,419,0.002386634844868735,1.086664618895081,0.568236059882838,0.4151307982315197,0.4133928570395363,0.475851520534452
San Francisco,CA,815201,38.3,126187,18000,37.7749,-122.4194,126187,437,0.002288329519450801,1.0,0.5278045038485542,0.960114678176491,0.14978409660533076,0.5440914339739682
Indianapolis,IN,882467,34.0,53603,2400,39.7684,-86.1581,53603,356,0.0028089887640449437,1.0,0.7419441075076608,0.19786186110498513,0.14978409660533076,0.40107143031615916
Seattle,WA,749256,35.2,99300,8400,47.6062,-122.3321,99300,293,0.0034129692832764505,1.0,0.9903525442134657,0.6777564243932663,0.14978409660533076,0.6444031739849654
Denver,CO,711463,34.5,76432,4600,39.7392,-104.9903,82515,423,0.002364066193853428,1.079587083943898,0.5589539007092198,0.5014859855287063,0.39186503819953394,0.49158686740215995
Washington,DC,670050,34.4,93200,11300,38.9072,-77.0369,93200,995,0.0010050251256281408,1.0,0.0,0.6136962708589312,0.14978409660533076,0.22904411023927856
Boston,MA,654776,32.4,83000,13900,42.3601,-71.0589,81544,338,0.0029585798816568047,0.9824578313253012,0.8034687668101129,0.4912888692857818,0.09642588193108872,0.49770193208910635
Las Vegas,NV,646790,36.9,57814,4700,36.1699,-115.1398,64915,460,0.002173913043478261,1.1228249212993393,0.4807466650197629,0.31665669008537856,0.5233820615758477,0.444310291506273
Portland,OR,641162,36.4,75600,4700,45.5152,-122.6784,73849,291,0.003436426116838488,0.9768386243386243,1.0,0.41047856085189505,0.0793338759052573,0.5469437310271457
Memphis,TN,628127,34.1,45211,2300,35.1495,-90.049,57228,672,0.001488095238095238,1.2657981464687798,0.19867973823051943,0.23593039496760237,0.9582653523894179,0.4377306194993138
Nashville,TN,678851,34.2,68659,3600,36.1627,-86.7816,65278,672,0.001488095238095238,0.9507566378770446,0.19867973823051943,0.3204687943038972,0.0,0.17561253358337692
Detroit,MI,620376,35.0,34762,4800,42.3314,-83.0458,34762,492,0.0020325203252032522,1.0,0.42259388858093133,0.0,0.14978409660533076,0.21397278441397177
Baltimore,MD,569931,35.0,52579,7600,39.2904,-76.6122,52579,485,0.002061855670103093,1.0,0.43465909090909094,0.1871081566428279,0.14978409660533076,0.274931312338084
